Gameweek,Home Team,Away Team,Score,True Result,Pred Result,Home Win %,Draw %,Away Win %,Log Loss,Brier Score,RPS
1,Liverpool,Bournemouth,4-2,H,H,63.3%,20.3%,13.6%,0.4286,0.1847,0.0705
1,Aston Villa,Newcastle,0-0,D,A,36.8%,24.0%,37.3%,1.4077,0.8557,0.1426
1,Brighton,Fulham,1-1,D,H,42.7%,26.3%,30.1%,1.3262,0.8174,0.1389
1,Sunderland,West Ham,3-0,H,H,0.0%,0.0%,0.0%,1.0986,0.6667,0.2778
1,Tottenham,Burnley,3-0,H,H,63.5%,18.8%,13.6%,0.4122,0.1727,0.0671
1,Wolves,Man City,0-4,A,A,14.3%,20.6%,62.3%,0.4449,0.1955,0.0753
1,Chelsea,Crystal Palace,0-0,D,H,50.4%,25.1%,23.2%,1.3684,0.8715,0.1579
1,Nott'm Forest,Brentford,3-1,H,H,39.3%,26.7%,33.1%,0.925,0.5483,0.2378
1,Man United,Arsenal,0-1,A,A,14.4%,24.8%,59.8%,0.504,0.2407,0.0889
1,Leeds,Everton,1-0,H,H,62.9%,36.9%,0.2%,0.4637,0.2738,0.0688
2,West Ham,Chelsea,1-5,A,A,24.5%,23.6%,50.0%,0.6739,0.3606,0.1513
2,Man City,Tottenham,0-2,A,H,62.3%,18.8%,14.4%,1.8896,1.1844,0.5728
2,Bournemouth,Wolves,1-0,H,H,49.0%,25.0%,24.6%,0.6999,0.38,0.1579
2,Brentford,Aston Villa,1-0,H,A,35.1%,25.0%,38.5%,1.0328,0.6315,0.2837
2,Burnley,Sunderland,2-0,H,A,14.2%,25.1%,59.7%,1.9404,1.161,0.5484
2,Arsenal,Leeds,5-0,H,D,31.1%,42.6%,26.2%,1.1675,0.7253,0.2717
2,Crystal Palace,Nott'm Forest,1-1,D,H,40.6%,28.6%,30.4%,1.2472,0.7671,0.1296
2,Everton,Brighton,2-0,H,A,34.2%,30.9%,34.6%,1.07,0.6482,0.2761
2,Fulham,Man United,1-1,D,H,41.1%,28.4%,29.9%,1.2522,0.7713,0.1307
2,Newcastle,Liverpool,2-3,A,A,29.8%,23.8%,44.5%,0.7911,0.4501,0.1955
3,Chelsea,Fulham,2-0,H,H,53.8%,23.6%,20.9%,0.603,0.308,0.1251
3,Man United,Burnley,3-2,H,H,55.0%,25.4%,18.6%,0.587,0.2981,0.1162
3,Sunderland,Brentford,2-1,H,H,47.1%,28.3%,24.1%,0.7478,0.4168,0.168
3,Tottenham,Bournemouth,0-1,A,H,47.4%,24.1%,26.8%,1.2999,0.8218,0.3808
3,Wolves,Everton,2-3,A,H,34.4%,31.4%,34.0%,1.0778,0.6531,0.277
3,Leeds,Newcastle,0-0,D,H,45.3%,33.3%,21.2%,1.0981,0.6954,0.1256
3,Brighton,Man City,2-1,H,A,19.4%,23.0%,55.6%,1.6199,1.0203,0.4826
3,Nott'm Forest,West Ham,0-3,A,H,50.7%,24.4%,23.4%,1.4371,0.9074,0.423
3,Liverpool,Arsenal,1-0,H,A,32.7%,27.8%,38.9%,1.1104,0.6808,0.3014
3,Aston Villa,Crystal Palace,0-3,A,H,44.9%,26.9%,27.5%,1.285,0.8013,0.3639
4,Arsenal,Nott'm Forest,3-0,H,H,68.4%,19.9%,9.4%,0.3561,0.1404,0.0495
4,Bournemouth,Brighton,2-1,H,H,40.0%,27.0%,32.3%,0.9092,0.5363,0.2312
4,Crystal Palace,Sunderland,0-0,D,A,31.8%,32.0%,35.9%,1.1364,0.6925,0.1157
4,Everton,Aston Villa,0-0,D,A,32.2%,30.9%,36.7%,1.1732,0.7165,0.1198
4,Fulham,Leeds,1-0,H,A,18.0%,37.0%,45.0%,1.7148,1.0118,0.4374
4,Newcastle,Wolves,1-0,H,H,61.5%,19.2%,15.2%,0.4437,0.1935,0.0767
4,West Ham,Tottenham,0-3,A,A,29.1%,23.5%,45.3%,0.7713,0.4351,0.1886
4,Brentford,Chelsea,2-2,D,A,29.3%,24.9%,44.4%,1.3759,0.8497,0.1455
4,Burnley,Liverpool,0-1,A,A,7.9%,15.2%,71.0%,0.2814,0.0932,0.0336
4,Man City,Man United,3-0,H,H,62.3%,22.0%,13.8%,0.4533,0.2028,0.0763
5,Liverpool,Everton,2-1,H,H,59.6%,25.4%,14.1%,0.5082,0.2447,0.0894
5,Brighton,Tottenham,2-2,D,A,33.1%,24.6%,40.7%,1.388,0.8477,0.1423
5,Burnley,Nott'm Forest,1-1,D,A,25.4%,27.5%,46.4%,1.2834,0.806,0.1417
5,West Ham,Crystal Palace,1-2,A,A,26.7%,26.9%,45.7%,0.776,0.437,0.1818
5,Wolves,Leeds,1-3,A,A,15.5%,34.3%,50.1%,0.6901,0.3904,0.1363
5,Man United,Chelsea,2-1,H,A,24.5%,25.8%,48.7%,1.397,0.8765,0.4043
5,Fulham,Brentford,3-1,H,H,37.3%,27.1%,34.9%,0.9794,0.588,0.2567
5,Bournemouth,Newcastle,0-0,D,A,29.8%,26.2%,43.1%,1.3311,0.8212,0.1399
5,Sunderland,Aston Villa,1-1,D,H,41.6%,30.7%,27.4%,1.1768,0.7279,0.1247
5,Arsenal,Man City,1-1,D,H,45.5%,28.7%,25.3%,1.2443,0.7807,0.137
6,Brentford,Man United,3-1,H,H,40.6%,27.0%,31.6%,0.8926,0.524,0.2251
6,Chelsea,Brighton,1-3,A,H,50.3%,23.6%,24.2%,1.4007,0.889,0.4156
6,Crystal Palace,Liverpool,2-1,H,A,21.0%,26.1%,52.0%,1.553,0.9665,0.4485
6,Leeds,Bournemouth,2-2,D,H,45.3%,36.9%,17.8%,0.9976,0.6356,0.1185
6,Man City,Burnley,5-1,H,H,73.5%,14.6%,6.3%,0.2507,0.0775,0.0268
6,Nott'm Forest,Sunderland,0-1,A,A,25.3%,31.4%,43.1%,0.8403,0.4865,0.1937
6,Tottenham,Wolves,1-1,D,H,55.7%,21.4%,19.9%,1.5118,0.9798,0.1861
6,Aston Villa,Fulham,3-1,H,H,41.3%,27.4%,30.7%,0.878,0.5128,0.2185
6,Newcastle,Arsenal,1-2,A,A,20.5%,26.3%,52.3%,0.6391,0.3362,0.1329
6,Everton,West Ham,1-1,D,H,44.0%,29.5%,26.2%,1.2173,0.7593,0.1319
7,Bournemouth,Fulham,3-1,H,H,44.0%,27.3%,27.9%,0.8128,0.4644,0.1943
7,Leeds,Tottenham,1-2,A,H,49.3%,31.6%,18.9%,1.6654,1.0021,0.451
7,Arsenal,West Ham,2-0,H,H,74.1%,13.9%,5.9%,0.2377,0.0708,0.0244
7,Man United,Sunderland,2-0,H,A,26.0%,31.9%,41.8%,1.3444,0.8248,0.3611
7,Chelsea,Liverpool,2-1,H,A,25.9%,24.2%,48.3%,1.3343,0.844,0.3918
7,Aston Villa,Burnley,2-1,H,H,64.2%,20.1%,12.8%,0.4141,0.1752,0.0662
7,Everton,Crystal Palace,2-1,H,A,30.4%,33.7%,35.7%,1.1879,0.725,0.3054
7,Newcastle,Nott'm Forest,2-0,H,H,56.0%,23.7%,18.7%,0.5635,0.2796,0.1109
7,Wolves,Brighton,1-1,D,A,28.3%,25.0%,45.3%,1.373,0.8511,0.1468
7,Brentford,Man City,0-1,A,A,18.2%,21.4%,57.6%,0.5227,0.2491,0.1003
8,Nott'm Forest,Chelsea,0-3,A,A,26.1%,26.0%,46.9%,0.7478,0.416,0.1734
8,Brighton,Newcastle,2-1,H,A,31.2%,25.4%,42.2%,1.1537,0.7173,0.3256
8,Burnley,Leeds,2-0,H,A,12.8%,29.6%,57.3%,2.0564,1.1795,0.5456
8,Crystal Palace,Bournemouth,3-3,D,H,38.6%,28.6%,32.3%,1.2476,0.7641,0.128
8,Man City,Everton,2-0,H,H,62.1%,24.2%,12.6%,0.4664,0.2153,0.0776
8,Sunderland,Wolves,2-0,H,H,52.4%,28.4%,18.7%,0.6409,0.3406,0.1296
8,Fulham,Arsenal,0-1,A,A,12.7%,22.5%,63.2%,0.4428,0.197,0.0723
8,Tottenham,Aston Villa,1-2,A,H,43.5%,24.1%,30.6%,1.1665,0.7305,0.3351
8,Liverpool,Man United,1-2,A,H,63.3%,20.5%,13.5%,1.9777,1.2106,0.5832
8,West Ham,Brentford,0-2,A,A,32.5%,24.8%,41.2%,0.8711,0.5104,0.2236
9,Leeds,West Ham,2-1,H,H,56.9%,28.9%,13.8%,0.5602,0.2875,0.1016
9,Chelsea,Sunderland,1-2,A,H,41.6%,30.3%,27.8%,1.2782,0.7872,0.3473
9,Newcastle,Fulham,2-1,H,H,53.3%,24.5%,20.8%,0.6147,0.317,0.1276
9,Man United,Brighton,4-2,H,H,37.0%,27.1%,35.2%,0.9872,0.5937,0.2597
9,Brentford,Liverpool,3-2,H,A,23.8%,24.1%,50.5%,1.4208,0.8989,0.4194
9,Arsenal,Crystal Palace,1-0,H,H,63.8%,23.0%,11.8%,0.4354,0.1933,0.0695
9,Aston Villa,Man City,1-0,H,A,22.4%,25.0%,51.3%,1.4813,0.931,0.4335
9,Bournemouth,Nott'm Forest,2-0,H,H,54.1%,24.9%,19.8%,0.6025,0.3086,0.1225
9,Wolves,Burnley,2-3,A,H,44.1%,26.7%,28.3%,1.2537,0.7813,0.3543
9,Everton,Tottenham,0-3,A,A,30.8%,29.4%,39.4%,0.9272,0.548,0.2306
10,Brighton,Leeds,3-0,H,A,26.6%,33.0%,40.2%,1.3229,0.8099,0.3502
10,Burnley,Arsenal,0-2,A,A,7.9%,18.4%,71.0%,0.3156,0.1157,0.0399
10,Crystal Palace,Brentford,2-0,H,H,42.0%,26.6%,30.5%,0.8589,0.499,0.2134
10,Fulham,Wolves,3-0,H,H,52.1%,24.7%,21.9%,0.6386,0.3346,0.1359
10,Nott'm Forest,Man United,2-2,D,A,28.4%,28.0%,43.0%,1.2671,0.7849,0.1344
10,Tottenham,Chelsea,0-1,A,H,41.6%,23.6%,32.7%,1.0961,0.6819,0.312
10,Liverpool,Aston Villa,2-0,H,H,51.5%,24.0%,22.9%,0.6468,0.3403,0.1404
10,West Ham,Newcastle,3-1,H,A,21.8%,23.2%,53.0%,1.5034,0.9532,0.4486
10,Man City,Bournemouth,3-1,H,H,57.5%,23.3%,17.6%,0.5368,0.2605,0.1022
10,Sunderland,Everton,1-1,D,H,47.7%,33.5%,18.7%,1.092,0.7043,0.1314
11,Tottenham,Man United,2-2,D,H,49.8%,23.1%,24.9%,1.4422,0.9071,0.162
11,Everton,Fulham,2-0,H,H,35.8%,31.1%,32.9%,1.0254,0.6171,0.2601
11,West Ham,Burnley,3-2,H,H,51.6%,23.8%,22.9%,0.6449,0.3389,0.1401
11,Sunderland,Arsenal,2-2,D,A,19.4%,32.9%,47.6%,1.1113,0.7151,0.1325
11,Chelsea,Wolves,3-0,H,H,67.2%,16.8%,10.6%,0.3417,0.1278,0.0481
11,Aston Villa,Bournemouth,4-0,H,H,43.1%,26.1%,29.8%,0.8315,0.4788,0.2046
11,Brentford,Newcastle,3-1,H,H,38.9%,24.7%,34.9%,0.9302,0.5554,0.2462
11,Crystal Palace,Brighton,0-0,D,H,45.8%,25.5%,27.5%,1.3544,0.8428,0.1462
11,Nott'm Forest,Leeds,3-1,H,A,22.7%,34.6%,42.6%,1.4818,0.8989,0.3894
11,Man City,Liverpool,3-0,H,H,50.2%,24.5%,23.8%,0.6749,0.3614,0.1497
