Gameweek,Match,Score,Total Goals,True O/U,Pred O/U,Over %,Under %,Log Loss,Brier Score
1,Liverpool vs Bournemouth,4-2,6,Over,Over,81.1%,18.9%,0.2095,0.0357
1,Aston Villa vs Newcastle,0-0,0,Under,Over,87.8%,12.2%,2.1029,0.7707
1,Brighton vs Fulham,1-1,2,Over,Over,81.5%,18.5%,0.2044,0.0342
1,Sunderland vs West Ham,3-0,3,Over,Under,44.4%,55.6%,0.8124,0.3094
1,Tottenham vs Burnley,3-0,3,Over,Over,86.5%,13.6%,0.1456,0.0184
1,Wolves vs Man City,0-4,4,Over,Over,81.5%,18.4%,0.204,0.034
1,Chelsea vs Crystal Palace,0-0,0,Under,Over,81.1%,18.9%,1.6644,0.6572
1,Nott'm Forest vs Brentford,3-1,4,Over,Over,80.7%,19.3%,0.2144,0.0372
1,Man United vs Arsenal,0-1,1,Under,Over,69.9%,30.1%,1.2006,0.4886
1,Leeds vs Everton,1-0,1,Under,Over,100.0%,0.0%,34.5396,1.0
2,West Ham vs Chelsea,1-5,6,Over,Over,84.2%,15.8%,0.1716,0.0249
2,Man City vs Tottenham,0-2,2,Over,Over,86.2%,13.8%,0.149,0.0192
2,Bournemouth vs Wolves,1-0,1,Under,Over,81.1%,18.9%,1.6644,0.6572
2,Brentford vs Aston Villa,1-0,1,Under,Over,84.9%,15.1%,1.8885,0.7203
2,Burnley vs Sunderland,2-0,2,Over,Under,43.1%,56.9%,0.8421,0.324
2,Arsenal vs Leeds,5-0,5,Over,Over,52.4%,47.5%,0.6453,0.2261
2,Crystal Palace vs Nott'm Forest,1-1,2,Over,Over,74.4%,25.6%,0.2954,0.0654
2,Everton vs Brighton,2-0,2,Over,Over,70.6%,29.4%,0.3487,0.0867
2,Fulham vs Man United,1-1,2,Over,Over,74.9%,25.1%,0.2894,0.0632
2,Newcastle vs Liverpool,2-3,5,Over,Over,87.1%,12.9%,0.1378,0.0166
3,Chelsea vs Fulham,2-0,2,Over,Over,80.9%,19.1%,0.2125,0.0366
3,Man United vs Burnley,3-2,5,Over,Over,73.1%,26.9%,0.3132,0.0723
3,Sunderland vs Brentford,2-1,3,Over,Under,40.4%,59.6%,0.9071,0.3556
3,Tottenham vs Bournemouth,0-1,1,Under,Over,83.1%,16.9%,1.7784,0.6907
3,Wolves vs Everton,2-3,5,Over,Over,67.2%,32.8%,0.3971,0.1074
3,Leeds vs Newcastle,0-0,0,Under,Over,80.8%,19.2%,1.6477,0.6521
3,Brighton vs Man City,2-1,3,Over,Over,79.2%,20.8%,0.2331,0.0432
3,Nott'm Forest vs West Ham,0-3,3,Over,Over,79.5%,20.5%,0.2289,0.0419
3,Liverpool vs Arsenal,1-0,1,Under,Over,77.0%,23.0%,1.471,0.5934
3,Aston Villa vs Crystal Palace,0-3,3,Over,Over,74.6%,25.4%,0.2936,0.0647
4,Arsenal vs Nott'm Forest,3-0,3,Over,Over,64.8%,35.2%,0.4339,0.1239
4,Bournemouth vs Brighton,2-1,3,Over,Over,74.1%,25.9%,0.2996,0.067
4,Crystal Palace vs Sunderland,0-0,0,Under,Under,31.8%,68.2%,0.3833,0.1014
4,Everton vs Aston Villa,0-0,0,Under,Over,66.5%,33.5%,1.0936,0.4422
4,Fulham vs Leeds,1-0,1,Under,Over,51.5%,48.5%,0.7242,0.2655
4,Newcastle vs Wolves,1-0,1,Under,Over,83.3%,16.7%,1.7922,0.6946
4,West Ham vs Tottenham,0-3,3,Over,Over,83.0%,17.0%,0.1865,0.0289
4,Brentford vs Chelsea,2-2,4,Over,Over,82.0%,18.0%,0.1987,0.0325
4,Burnley vs Liverpool,0-1,1,Under,Over,80.8%,19.2%,1.6487,0.6524
4,Man City vs Man United,3-0,3,Over,Over,71.9%,28.1%,0.3303,0.0791
5,Liverpool vs Everton,2-1,3,Over,Over,63.3%,36.6%,0.4565,0.1343
5,Brighton vs Tottenham,2-2,4,Over,Over,80.7%,19.3%,0.2147,0.0373
5,Burnley vs Nott'm Forest,1-1,2,Over,Over,73.2%,26.9%,0.3127,0.0721
5,West Ham vs Crystal Palace,1-2,3,Over,Over,75.3%,24.7%,0.2832,0.0608
5,Wolves vs Leeds,1-3,4,Over,Over,58.9%,41.1%,0.5295,0.169
5,Man United vs Chelsea,2-1,3,Over,Over,77.9%,22.1%,0.2501,0.049
5,Fulham vs Brentford,3-1,4,Over,Over,75.4%,24.6%,0.282,0.0604
5,Bournemouth vs Newcastle,0-0,0,Under,Over,72.4%,27.6%,1.2859,0.5236
5,Sunderland vs Aston Villa,1-1,2,Over,Under,35.6%,64.4%,1.0334,0.415
5,Arsenal vs Man City,1-1,2,Over,Over,67.3%,32.7%,0.3963,0.1071
6,Brentford vs Man United,3-1,4,Over,Over,80.4%,19.6%,0.2182,0.0384
6,Chelsea vs Brighton,1-3,4,Over,Over,83.2%,16.8%,0.1834,0.0281
6,Crystal Palace vs Liverpool,2-1,3,Over,Over,72.8%,27.2%,0.3173,0.0739
6,Leeds vs Bournemouth,2-2,4,Over,Over,51.0%,49.0%,0.673,0.2399
6,Man City vs Burnley,5-1,6,Over,Over,74.2%,25.8%,0.2989,0.0668
6,Nott'm Forest vs Sunderland,0-1,1,Under,Under,34.9%,65.1%,0.4289,0.1217
6,Tottenham vs Wolves,1-1,2,Over,Over,84.8%,15.2%,0.1646,0.023
