home_id,away_id,home_goals,away_goals
11,2,4,2
1,14,0,0
4,9,1,1
16,18,3,0
17,5,3,0
19,12,0,4
6,7,0,0
15,3,3,1
13,0,0,1
10,8,1,0
18,6,1,5
12,17,0,2
2,19,1,0
3,1,1,0
5,16,2,0
0,10,5,0
7,15,1,1
8,4,2,0
9,13,1,1
14,11,2,3
6,9,2,0
13,5,3,2
16,3,2,1
17,2,0,1
19,8,2,3
10,14,0,0
4,12,2,1
15,18,0,3
11,0,1,0
1,7,0,3
0,15,3,0
2,4,2,1
7,16,0,0
8,1,0,0
9,10,1,0
14,19,1,0
18,17,0,3
3,6,2,2
5,11,0,1
12,13,3,0
11,8,2,1
4,17,2,2
5,15,1,1
18,7,1,2
19,10,1,3
13,6,2,1
9,3,3,1
2,14,0,0
16,1,1,1
0,12,1,1
3,13,3,1
6,4,1,3
7,11,2,1
10,2,2,2
12,5,5,1
15,16,0,1
17,19,1,1
1,9,3,1
14,0,1,2
8,18,1,1
2,9,3,1
10,17,1,2
0,18,2,0
13,16,2,0
6,11,2,1
1,5,2,1
8,7,2,1
14,15,2,0
19,4,1,1
3,12,0,1
15,6,0,3
4,14,2,1
5,10,2,0
7,2,3,3
12,8,2,0
16,19,2,0
9,0,0,1
17,1,1,2
11,13,1,2
18,3,0,2
10,18,2,1
6,16,1,2
14,9,2,1
13,4,4,2
3,11,3,2
0,7,1,0
1,12,1,0
2,15,2,0
19,5,2,3
8,17,0,3
4,10,3,0
5,0,0,2
7,3,2,0
9,19,3,0
15,13,2,2
17,6,0,1
11,1,2,0
18,14,3,1
12,2,3,1
16,8,1,1
17,13,2,2
8,9,2,0
18,5,3,2
16,0,2,2
6,19,3,0
1,2,4,0
3,14,3,1
7,4,0,0
15,10,3,1
12,11,3,0
5,6,0,2
2,18,2,2
4,3,2,1
9,16,1,0
11,15,0,3
19,7,0,2
14,12,2,1
10,1,1,2
0,17,4,1
13,8,0,1
3,5,3,1
12,10,3,2
16,2,3,2
8,14,1,4
17,9,1,2
7,13,1,2
1,19,1,0
15,4,0,2
18,11,0,2
6,0,1,1
2,8,0,1
9,12,4,5
14,17,2,2
0,3,2,0
4,1,3,4
5,7,0,1
19,15,0,1
10,6,3,1
11,16,1,1
13,18,1,1
1,0,2,1
2,6,0,0
8,15,3,0
12,16,3,0
14,5,2,1
17,3,2,0
10,11,3,3
4,18,1,1
9,7,1,2
19,13,1,4
6,8,2,0
11,4,2,0
5,9,2,3
0,19,2,1
7,12,0,3
15,17,3,0
16,14,1,0
18,1,2,3
3,10,1,1
13,2,4,4
14,6,2,2
2,5,1,1
4,16,0,0
12,18,3,0
19,3,0,2
17,11,1,2
8,0,0,1
10,7,4,1
1,13,2,1
9,15,1,0
13,14,1,0
15,12,1,2
0,4,2,1
3,2,4,1
5,8,0,0
11,19,2,1
18,9,0,1
6,1,1,2
16,10,1,1
7,17,0,1
5,14,1,3
6,2,2,2
15,8,0,2
18,4,2,2
0,1,4,1
13,19,1,1
7,9,1,1
11,10,0,0
3,17,0,0
16,12,0,0
1,15,3,1
4,5,2,0
19,18,3,0
2,0,2,3
10,13,1,1
8,3,2,4
14,7,2,0
17,16,1,1
9,11,2,2
12,6,1,1
18,15,1,2
2,17,3,2
3,16,3,0
7,1,0,0
8,19,1,1
9,6,2,1
12,4,1,1
5,13,2,2
14,10,4,3
0,11,0,0
13,12,2,0
6,3,2,0
10,9,1,0
11,5,1,1
16,7,2,1
17,18,1,2
15,0,0,0
19,14,0,0
1,8,0,1
4,2,1,1
18,16,3,1
5,17,2,2
9,4,2,1
12,19,2,0
2,11,3,2
3,15,0,2
7,6,1,3
14,1,0,2
0,13,2,3
8,10,1,1
4,8,1,1
10,0,0,4
19,2,0,2
6,18,3,2
11,14,4,1
1,3,0,1
13,9,3,2
15,7,1,1
17,12,2,2
16,5,3,0
10,15,3,1
13,17,2,0
0,16,3,0
