home_id,away_id,home_goals,away_goals
5,12,0,3
0,15,2,1
2,18,1,1
4,20,4,1
8,9,0,1
21,7,0,1
14,1,5,1
3,17,2,2
6,11,1,1
13,19,1,0
15,21,2,1
9,3,0,3
11,2,3,1
19,4,1,4
17,13,2,0
12,14,1,0
1,8,4,0
18,6,3,1
7,0,0,1
6,20,3,0
2,17,0,2
0,9,2,2
3,7,1,1
8,19,0,1
13,15,3,2
4,18,1,3
5,1,1,3
21,12,1,2
14,11,1,2
20,18,1,2
21,8,2,2
3,2,2,2
5,17,2,5
6,15,0,1
12,9,5,1
4,14,3,1
7,19,3,2
11,1,3,0
0,13,3,1
19,11,1,3
1,7,3,1
9,20,1,0
13,4,1,3
17,21,2,1
18,12,1,3
14,3,1,0
2,6,0,0
8,0,0,1
15,5,1,1
7,9,0,0
20,19,1,1
12,15,2,0
3,8,1,3
5,13,0,1
0,17,2,2
4,2,3,1
6,1,0,1
11,18,3,1
21,14,0,8
1,4,6,1
2,0,0,4
8,20,1,2
13,7,0,1
14,5,2,0
18,21,2,0
19,12,2,1
17,11,2,1
15,3,1,1
9,6,0,2
20,5,1,2
20,17,0,1
5,6,1,4
8,2,3,0
9,21,3,1
13,3,2,1
7,15,0,0
4,11,2,2
18,14,2,2
19,1,1,1
0,12,1,0
11,8,2,0
2,19,1,2
3,5,3,0
12,4,2,1
14,7,4,0
15,20,2,2
6,0,2,2
21,13,1,2
1,18,4,1
17,9,2,0
7,17,1,2
6,3,0,2
0,21,5,0
2,5,2,1
19,14,2,2
18,8,0,1
1,20,3,1
4,9,1,1
11,15,3,0
13,12,0,3
9,13,0,1
3,18,3,2
5,7,0,2
8,4,1,1
12,2,6,1
21,19,2,1
14,0,1,0
15,1,2,0
20,11,1,1
17,6,1,4
19,17,2,1
0,5,3,1
7,8,2,3
13,20,1,0
2,14,2,0
1,9,3,1
4,21,1,1
11,3,3,0
18,15,3,2
6,12,4,4
12,11,1,1
5,18,1,2
20,7,2,1
14,6,4,1
15,4,2,3
21,2,1,3
3,0,0,1
17,1,1,2
8,13,0,3
9,19,3,2
0,19,2,1
3,20,3,1
5,21,5,0
15,8,0,1
14,13,1,0
2,1,2,2
6,4,3,2
11,9,4,3
18,7,1,1
12,17,3,3
19,5,1,0
20,0,3,4
4,3,2,1
7,2,0,2
9,15,5,0
21,11,0,2
1,12,1,0
13,6,2,1
8,14,3,0
17,18,1,2
7,11,1,2
4,5,1,1
13,2,0,3
21,3,1,0
19,15,1,1
1,0,1,0
8,6,2,0
9,18,5,0
20,12,1,2
17,14,4,1
15,17,0,2
6,21,2,0
12,7,2,2
14,9,3,0
5,8,0,2
0,4,2,0
3,1,1,2
18,19,3,0
11,13,0,0
7,4,1,1
1,21,1,1
18,13,2,0
9,5,0,2
20,14,1,0
15,2,2,3
17,8,2,1
11,0,1,1
19,6,2,1
14,15,1,3
2,9,3,0
21,20,2,3
5,11,0,2
13,1,3,2
3,19,1,4
6,7,2,1
8,12,1,3
4,17,4,2
0,18,0,2
20,6,2,3
1,5,3,2
7,3,3,1
12,21,2,0
19,8,3,0
15,13,2,1
9,0,2,1
17,2,3,1
11,14,4,2
18,4,0,0
5,20,1,1
6,9,1,0
14,12,2,3
8,1,0,0
13,17,2,2
0,7,5,0
3,15,3,2
21,18,2,2
2,11,0,4
4,19,0,0
15,0,1,2
9,8,0,0
20,4,4,0
7,21,3,2
1,14,1,3
12,5,3,1
17,3,3,2
11,6,4,1
18,2,1,1
19,13,3,4
8,17,2,2
4,7,4,1
5,9,2,2
14,20,4,4
21,1,0,5
2,15,1,1
6,19,2,4
13,18,3,0
0,11,3,1
3,12,1,3
12,8,2,0
9,2,3,1
11,5,3,1
20,21,1,3
17,4,2,1
19,3,0,2
15,14,2,3
18,0,0,6
1,13,1,2
7,6,1,3
3,11,1,4
5,0,0,5
9,1,1,2
14,2,2,2
15,18,2,0
17,19,1,2
12,6,1,1
21,4,0,5
20,13,1,2
8,7,1,1
12,3,1,0
11,20,4,1
1,15,4,2
4,8,1,1
7,5,3,0
13,9,1,2
2,12,0,1
0,14,4,1
19,21,1,0
18,3,4,2
3,6,2,2
8,18,1,3
9,4,3,0
14,19,3,0
15,11,0,1
17,7,3,1
20,1,2,3
5,2,0,2
12,13,3,1
21,0,0,6
13,8,2,0
2,21,2,2
7,20,1,1
19,9,2,1
0,3,2,1
1,17,0,4
4,15,1,0
18,5,2,2
11,12,1,1
6,14,3,2
2,20,4,3
5,3,2,1
20,15,1,1
9,17,3,0
18,1,1,1
14,18,4,3
2,8,2,1
6,5,2,2
15,7,1,1
21,9,3,3
17,20,2,1
1,19,2,0
3,13,1,1
11,4,2,1
12,0,0,0
14,8,1,1
15,9,3,1
2,7,1,0
5,19,1,1
18,17,1,1
0,20,2,0
3,4,0,0
12,1,4,1
11,21,3,1
6,13,4,3
7,12,2,4
1,3,3,3
8,5,1,0
9,14,0,1
20,2,2,1
19,18,1,2
4,0,0,3
13,11,2,2
21,6,2,2
17,15,3,1
14,17,4,0
3,21,2,0
5,4,1,1
12,20,5,1
15,19,2,2
2,13,2,2
11,7,0,1
18,9,0,2
0,1,0,2
6,8,6,0
20,3,1,5
21,5,1,4
19,0,0,2
8,15,2,0
1,2,3,1
7,18,5,2
9,11,1,3
0,6,5,0
19,2,0,1
7,14,2,0
8,11,2,0
13,21,4,2
4,12,0,4
18,11,2,2
9,7,1,1
13,5,1,1
14,21,5,1
19,20,2,1
8,3,1,0
1,6,2,2
2,4,3,0
17,0,2,3
15,12,0,2
6,17,2,0
20,8,1,1
0,2,3,0
3,9,0,0
5,14,1,4
21,15,1,3
12,19,5,1
4,1,1,0
6,18,5,0
11,17,4,2
7,13,4,0
9,12,0,4
2,3,1,2
8,21,1,0
14,4,1,1
17,5,2,1
18,20,3,1
19,7,1,3
15,6,2,3
13,0,0,1
1,11,3,3
17,12,0,2
4,6,1,2
13,14,3,2
0,8,2,1
3,14,2,4
4,13,0,2
5,15,1,2
6,2,2,1
7,1,5,0
11,19,2,0
20,9,2,4
12,18,3,1
21,17,0,3
13,9,1,0
22,11,0,2
0,19,2,0
8,4,0,3
14,24,1,0
15,2,1,1
18,1,1,2
3,7,2,1
6,12,0,2
23,17,1,1
4,13,2,1
7,18,0,2
9,23,2,1
12,22,4,1
24,15,0,1
17,8,4,0
1,0,0,2
2,14,1,1
19,6,2,6
11,3,2,0
0,4,1,1
3,24,3,1
8,2,2,3
22,9,1,1
23,1,1,2
15,19,1,1
18,12,1,3
6,7,1,1
14,17,2,1
13,11,0,3
24,13,0,3
4,22,0,0
7,23,2,2
9,18,1,1
11,15,0,1
12,3,2,1
1,8,3,2
2,6,0,1
17,0,0,1
19,14,1,2
18,6,0,3
1,19,3,1
9,14,3,1
23,8,1,1
11,2,3,0
24,22,1,1
17,3,3,1
7,13,0,0
4,15,2,2
12,0,2,2
14,12,1,1
0,23,4,2
3,18,1,1
6,4,4,2
8,7,2,1
15,9,0,1
19,11,1,2
22,1,2,2
13,17,0,3
2,24,3,1
7,11,0,1
0,24,3,1
3,19,5,3
23,2,1,0
12,9,3,2
18,22,4,1
8,14,0,0
1,13,0,0
6,15,1,1
4,17,3,2
17,18,4,1
9,1,1,3
22,8,0,2
13,3,2,1
14,4,0,1
24,23,2,3
2,0,2,0
19,12,1,2
11,6,2,1
15,7,1,0
23,15,1,3
1,2,1,1
3,22,4,3
4,19,2,2
12,24,1,0
8,9,1,1
6,14,2,1
7,17,1,0
18,13,2,1
0,11,2,2
14,0,1,0
2,12,2,1
22,23,1,1
11,4,2,1
15,18,3,0
24,8,1,0
19,7,2,2
17,1,4,1
13,6,1,1
9,3,2,1
3,2,3,2
7,9,0,2
18,8,0,0
19,24,2,0
4,12,2,1
11,1,2,0
13,23,3,0
15,14,1,3
17,22,1,2
6,0,1,1
23,6,1,2
0,15,3,0
1,7,2,2
2,4,1,2
8,3,0,0
9,19,1,4
12,17,0,4
24,11,2,3
22,13,1,1
14,18,0,2
4,24,1,1
3,23,4,1
7,14,1,1
15,22,1,0
19,2,2,4
18,0,2,5
6,1,3,0
13,8,4,0
17,9,1,1
11,12,2,0
22,7,0,1
23,18,3,1
8,19,4,0
12,15,3,0
14,11,3,3
24,6,1,5
0,13,2,0
1,3,3,1
9,4,3,1
2,17,1,0
1,24,1,0
3,14,4,2
7,12,2,2
13,15,2,3
9,0,1,1
22,2,1,2
23,4,2,2
17,6,3,4
18,19,2,1
0,8,0,0
11,9,2,2
14,23,4,0
19,22,1,2
15,1,2,1
4,7,1,3
12,13,1,2
6,3,2,1
24,17,0,5
2,18,1,1
1,12,2,1
3,15,0,2
22,14,0,4
18,4,1,1
7,0,1,5
8,6,0,0
9,24,0,0
23,19,0,3
13,2,0,3
17,11,3,6
12,8,1,1
2,7,0,0
6,9,1,2
14,1,3,0
15,17,1,0
24,18,0,1
19,13,2,0
11,23,3,1
4,3,0,0
0,22,1,0
23,12,0,2
7,24,2,1
8,15,0,2
9,2,2,2
17,19,2,2
18,11,0,5
1,4,2,2
22,6,2,0
